"Road lengths (miles) by road type in Great Britain, 1914 - 2021",,,,,,,,,,,,,,
Table RDL0103,,,,,,,,,,,,,,
Department for Transport statistics,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,
Values in this table may not sum due to rounding,,,,,,,,,,,,,,
Some symbols are used in this table . Is used where data not applicable and : where value not available ,,,,,,,,,,,,,Miles,
Year,Trunk Motorways,Principle Motorways,Total Motorways,Trunk 'A' roads,Principle 'A' Roads,Total 'A' Roads,All major roads,'B' road,C' road,U' road,'C' and 'U' roads,All minor roads,All roads,
1965,346,6,352,"8,349","19,860","28,208","28,561","17,642","48,998","105,855","154,853","172,495","201,056",
1966,383,8,391,"8,335","19,909","28,244","28,635","17,632","49,000","106,792","155,792","173,424","202,059",
1967,464,7,473,"8,334","20,214","28,548","29,019",: ,: ,:,:,"173,660","202,679",
1968,540,7,549,..,..,"28,587","29,136",: ,: ,:,:,"174,784","203,920",
1969,588,11,599,"8,384","20,204","28,588","29,187",: ,: ,"103,203",:,"169,848","199,035",
1970,635,22,657,"8,352","20,225","28,577","29,234",: ,: ,"104,485",:,"171,149","200,382",
1971,767,22,789,"8,347","20,320","28,667","29,456",: ,: ,"105,554",:,"172,281","201,738",
1972,"1,000",37,"1,037","8,358","20,359","28,717","29,754",: ,: ,"107,142",:,"173,880","203,634",
1973,"1,031",43,"1,075","8,296","20,374","28,670","29,745","17,031","49,580","106,913","156,493","173,524","203,270",
1974,"1,104",57,"1,161","8,291","20,412","28,703","29,864","17,088","49,748","107,773","157,521","174,608","204,472",
1975,"1,169",58,"1,227","8,301","20,502","28,802","30,030","17,154","49,807","108,087","157,894","175,047","205,077",
1976,"1,281",58,"1,339","8,351","20,587","28,939","30,278","17,282","50,028","109,233","159,261","176,543","206,821",
1977,"1,324",66,"1,390","8,135","20,811","28,946","30,336","17,321","50,140","110,526","160,666","177,987","208,323",
1978,"1,421",66,"1,488","7,788","21,184","28,971","30,459","17,320","50,048","111,117","161,166","178,486","208,945",
1979,"1,454",72,"1,526","7,745","21,322","29,067","30,593","17,315","50,082","112,020","162,102","179,417","210,010",
1980,"1,519",69,"1,588","7,770","21,174","28,944","30,532","17,492","50,167","112,847","163,014","180,507","211,038",
1981,"1,568",76,"1,645","7,699","21,458","29,157","30,802","17,543","49,957","114,406","164,363","181,906","212,708",
1982,"1,591",81,"1,673","7,668","21,480","29,148","30,821","17,679","49,932","115,284","165,216","182,894","213,716",
1983,"1,621",82,"1,703","7,682","21,554","29,236","30,939","17,732","49,913","116,272","166,185","183,917","214,855",
1984,"1,664",67,"1,731","7,692","21,595","29,287","31,018","18,042","49,786","117,135","166,921","184,963","215,982",
1985,"1,681",67,"1,748","7,649","21,624","29,272","31,020","18,046","49,995","117,611","167,606","185,651","216,672",
1986,"1,752",63,"1,815","7,792","21,666","29,458","31,273","18,095","49,933","118,848","168,781","186,876","218,149",
1987,"1,786",63,"1,849","7,780","21,741","29,520","31,369","18,496","49,712","119,578","169,290","187,786","219,155",
1988,"1,796",63,"1,859","7,818","21,710","29,528","31,387","18,443","49,812","120,519","170,332","188,774","220,161",
1989,"1,804",57,"1,861","7,901","21,772","29,673","31,534","18,458","50,046","121,544","171,590","190,049","221,582",
1990,"1,859",48,"1,908","7,875","21,841","29,716","31,623","18,540","50,155","122,154","172,309","190,849","222,472",
1991,"1,885",42,"1,927","7,657","22,109","29,765","31,693","18,707","50,376","122,897","173,273","191,980","223,672",
1992,"1,903",44,"1,947","7,640","22,147","29,786","31,733","18,782","50,539","124,075","174,613","193,396","225,129",
1993,"1,951",45,"1,995","7,257","21,401","28,658","30,654","18,783","52,081","137,610","189,691","208,474","239,128",
1994,"1,970",45,"2,014","7,236","21,438","28,675","30,689","18,781","52,152","137,952","190,104","208,885","239,574",
1995,"1,987",45,"2,031","7,235","21,537","28,772","30,803","18,778","52,224","138,294","190,517","209,295","240,098",
1996,"2,021",28,"2,049","7,279","21,423","28,702","30,751","18,776","52,296","138,637","190,933","209,709","240,460",
1997,"2,071",28,"2,099","7,331","21,474","28,805","30,904","18,773","52,368","138,981","191,349","210,122","241,025",
1998,"2,098",28,"2,126","7,259","21,570","28,829","30,954","18,771","52,438","139,327","191,765","210,536","241,490",
1999,"2,115",28,"2,143","7,269","21,668","28,937","31,080","18,769","52,511","139,674","192,185","210,953","242,033",
2000,"2,126",28,"2,154","7,271","21,690","28,960","31,114","18,765","52,583","140,019","192,602","211,367","242,482",
2001 [Note 1],"2,132",28,"2,160","7,064","21,925","28,989","31,149","18,763","52,656","140,368","193,024","211,787","242,937",
2002,"2,133",28,"2,161","6,635","22,366","29,002","31,163","18,761","52,728","140,717","193,445","212,206","243,368",
2003,"2,133",28,"2,161","5,974","23,014","28,989","31,150","18,758","52,802","141,081","193,883","212,641","243,791",
2004 [Note 2],"2,161",28,"2,189","5,684","23,315","28,998","31,188","18,752","52,333","138,617","190,950","209,702","240,889",
2005,"2,157",30,"2,186","5,411","23,624","29,035","31,221","18,758","52,480","138,679","191,160","209,918","241,139",
2006 [Note 2],"2,179",30,"2,209","5,410","23,631","29,040","31,249","18,652","52,487","142,670","195,157","213,809","245,058",
2007,"2,186",26,"2,212","5,387","23,657","29,045","31,256","18,806","52,458","142,847","195,304","214,110","245,367",
2008,"2,186",25,"2,211","5,365","23,648","29,012","31,224","18,741","52,552","142,594","195,145","213,887","245,110",
2009,"2,186",25,"2,212","5,341","23,720","29,061","31,273","18,729","52,700","142,384","195,084","213,813","245,086",
2010,"2,185",26,"2,211","5,275","23,748","29,022","31,233","18,760","52,709","142,275","194,984","213,745","244,978",
2011,"2,193",26,"2,218","5,287","23,752","29,039","31,257","18,770","52,712","142,265","194,977","213,747","245,004",
2012,"2,222",26,"2,248","5,286","23,758","29,044","31,291","18,774","52,756","142,551","195,308","214,082","245,373",
2013 [Note 3],"2,237",26,"2,262","5,284","23,764","29,049","31,311","18,776",:,:,"195,641","214,417","245,728",
2014 [Note 3],"2,239",26,"2,265","5,272","23,799","29,071","31,336","18,770",:,:,"195,721","214,491","245,827",
2015,"2,245",26,"2,270","5,268","23,798","29,065","31,335","18,819","52,420","143,305","195,724","214,543","245,879",
2016 [Note 3],"2,242",26,"2,268","5,260","23,830","29,090","31,357","18,825",:,:,"196,328","215,152","246,510",
2017 [Note 4],"2,264",28,"2,292","5,270","23,870","29,140","31,432","18,842",:,:,"196,435","215,277","246,709",
2018,"2,286",27,"2,313","5,388","24,052","29,440","31,754","18,836","53,392","142,715","196,107","214,943","246,697",
2019 [Note 5],"2,292",27,"2,320","5,409","24,080","29,489","31,809","18,842",:,:,"196,404","215,246","247,055",
2020 [Note 3],"2,294",27,"2,321","5,433","24,089","29,522","31,843","18,852",:,:,"196,834","215,686","247,529",
2021 [Note 3],"2,294",27,"2,321","5,431","24,107","29,538","31,859","18,852",:,:,"197,116","215,968","247,827",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
