,Reward,Average Reward
162,-64.98764906720444,-101.26003340560187
163,13.35990050367434,-99.44063813775281
164,11.474114969445266,-97.40778943305986
165,-63.1864100538957,-97.27610023331128
166,-69.27252505547251,-98.01335548868725
167,-27.932885796006175,-97.83518764121982
168,-87.6261486523135,-97.48077497209546
169,-143.5609582180195,-98.06086694920656
170,20.23194372488803,-96.00922348527779
171,-64.56178500617318,-95.60721839680139
172,11.527564997070172,-94.81445377403867
173,-304.91483763183635,-96.92108326407917
174,-44.78698132324929,-95.75394976708618
175,-50.91736752501572,-95.30329608061471
176,-66.12481129229172,-93.24504832385139
177,-29.61326532282298,-92.22775229053397
178,-36.25556970396493,-91.96637414977761
179,-55.16846844562262,-91.30361071361814
180,-102.02795207789117,-91.19946401682675
181,42.0471047227301,-89.67996533727487
182,-20.033774815500113,-87.12104542939973
183,-79.203042942951,-86.81961287891897
184,-275.5551094385164,-88.77035532549878
185,-29.957419754795055,-88.38477201538299
186,-29.616865403741656,-87.67871672765648
187,-25.844286775628976,-87.76308704383253
188,-91.8730433502104,-85.9001177473116
189,-15.102171778263575,-84.86301304006766
190,-27.92265235361795,-84.61092445736429
191,-35.04812188196614,-83.690559255094
192,-17.636875434317744,-82.82622973542577
193,-25.31895837072098,-82.42325899983281
194,-173.76813235010246,-84.03280256437014
195,-1.7511230795206714,-83.21151566505762
196,-75.55912276292375,-82.1833811271511
197,3.173550063312482,-81.18843893332465
198,-44.34066597040172,-80.97688185426455
199,25.015654579896108,-79.42216446840044
200,10.884114423963524,-79.17702793388148
201,-16.75699879059517,-78.70621797297915
202,-69.85868946986446,-77.50652900316086
203,-12.971083527899893,-76.82286336783437
204,23.475735217539494,-75.51476449104123
205,-207.14368632442822,-75.34582426697197
206,12.420874997703347,-74.47042502282078
207,-44.40360956804044,-72.00438589892705
208,-92.99923504109144,-71.10812021870964
209,-7.559664698676426,-69.94646462018983
210,1.3131714902078546,-69.61523514534169
211,-5.816154072197684,-68.45873683539871
212,-48.747174645300284,-68.05055420558018
213,-49.26197794105683,-68.42880810097795
214,-6.484202954525269,-67.85858495121867
215,-37.52742462875155,-67.47016135731329
216,-53.30977900810006,-67.45025618022247
217,-14.30315963460841,-66.41449585753118
218,36.73258586264147,-65.62159478197967
219,-13.149954186135513,-65.2698343391098
220,-31.760906932673134,-65.78065947973526
221,16.484693184041078,-62.26932023731021
222,21.054727159969037,-61.76197944158584
223,-16.56670390745793,-61.111592425963416
224,-3.577390318256816,-60.8061544100504
225,-45.41724276072584,-60.896047414885516
226,14.545176371191486,-59.67817481624408
227,-13.120957042087957,-59.09653228001757
228,-28.15502471298901,-58.742619917358454
229,-39.75525265204792,-57.108046631740436
230,-0.2531842528937416,-55.998445203595985
231,-6.319986612483592,-55.04077880760886
232,-6.4271747926236245,-54.14049640031561
233,-10.688481135829296,-53.59972503862803
234,19.931695917938598,-49.784541208770094
235,1.2150854433870926,-49.66559210446299
236,8.405594895425747,-49.17491416709565
237,8.996181012940461,-47.71980114539587
238,-104.78350118081632,-48.157570690801585
239,21.639067969076347,-47.19288381306551
240,-31.779896096584636,-46.88837790276657
241,-36.09849436098454,-46.105610215276485
242,-32.93598197093074,-45.73066394037728
243,2.8634432302691737,-44.24311008693002
244,-40.46543381227966,-44.54687045108598
245,-66.73829107352185,-44.836375972969
246,-55.917084211330845,-44.66804821455158
247,36.72711066299786,-43.398994776790644
248,-21.04012578070034,-40.24630618538629
249,-36.89962041069018,-40.208549838682224
250,-7.143723224791906,-38.199438307778976
251,-93.48580728119884,-38.9872709138667
252,-35.66114576768177,-38.35122996646166
253,16.95518015229976,-38.12782452974112
254,23.783544700811923,-37.753467625517516
255,20.297166404288706,-35.188890021887914
256,-32.6534270511979,-34.81076719663529
257,16.74186703693914,-33.99599368776762
